segment_id,source_way_id,sample_area,from_node_id,to_node_id,highway,name,rule_bucket,length_meter,geom_wkt
1290623156_1,1290623156,seomyeon_station_1km,11966240050,11966240052,footway,,direct,2.564,"LINESTRING (129.0650717 35.1494390, 129.0650459 35.1494483)"
1290623156_2,1290623156,seomyeon_station_1km,11966240052,11966240051,footway,,direct,7.934,"LINESTRING (129.0650459 35.1494483, 129.0649660 35.1494770)"
1290623157_1,1290623157,seomyeon_station_1km,11966240053,11966240055,footway,,direct,8.773,"LINESTRING (129.0658064 35.1493232, 129.0657792 35.1493989)"
1290623157_2,1290623157,seomyeon_station_1km,11966240055,11966240054,footway,,direct,17.03,"LINESTRING (129.0657792 35.1493989, 129.0657262 35.1495458)"
1290623157_3,1290623157,seomyeon_station_1km,11966240054,11966240059,footway,,direct,13.04,"LINESTRING (129.0657262 35.1495458, 129.0656857 35.1496583)"
1290623157_4,1290623157,seomyeon_station_1km,11966240059,1770395157,footway,,direct,13.029,"LINESTRING (129.0656857 35.1496583, 129.0656452 35.1497707)"
1290623158_1,1290623158,seomyeon_station_1km,11966240053,11966240056,footway,,direct,5.028,"LINESTRING (129.0658064 35.1493232, 129.0658446 35.1492905)"
1290623159_1,1290623159,seomyeon_station_1km,11966240056,1770395050,footway,,direct,3.287,"LINESTRING (129.0658446 35.1492905, 129.0658777 35.1492786)"
1290623159_2,1290623159,seomyeon_station_1km,1770395050,11966240057,footway,,direct,5.847,"LINESTRING (129.0658777 35.1492786, 129.0659366 35.1492575)"
1290623160_1,1290623160,seomyeon_station_1km,11966240058,11966240060,footway,,direct,4.819,"LINESTRING (129.0652459 35.1498479, 129.0652928 35.1498277)"
1290623160_2,1290623160,seomyeon_station_1km,11966240060,11966240061,footway,,direct,26.516,"LINESTRING (129.0652928 35.1498277, 129.0655508 35.1497165)"
1290623160_3,1290623160,seomyeon_station_1km,11966240061,11966240059,footway,,direct,13.868,"LINESTRING (129.0655508 35.1497165, 129.0656857 35.1496583)"
1290623161_1,1290623161,seomyeon_station_1km,11966240062,11966240064,footway,,direct,2.945,"LINESTRING (129.0650763 35.1500498, 129.0650880 35.1500251)"
1290623161_2,1290623161,seomyeon_station_1km,11966240064,11966240063,footway,,direct,5.355,"LINESTRING (129.0650880 35.1500251, 129.0651093 35.1499802)"
1290623162_1,1290623162,seomyeon_station_1km,11966240063,11966240058,footway,,direct,19.253,"LINESTRING (129.0651093 35.1499802, 129.0652459 35.1498479)"
1290625964_1,1290625964,seomyeon_station_1km,11966248335,11966248338,footway,,direct,5.782,"LINESTRING (129.0563247 35.1577665, 129.0563251 35.1577145)"
1290625964_2,1290625964,seomyeon_station_1km,11966248338,11966248337,footway,,direct,19.415,"LINESTRING (129.0563251 35.1577145, 129.0563267 35.1575399)"
1290625964_3,1290625964,seomyeon_station_1km,11966248337,11966248336,footway,,direct,8.095,"LINESTRING (129.0563267 35.1575399, 129.0563273 35.1574671)"
1290625965_1,1290625965,seomyeon_station_1km,12540920633,12540920643,footway,,direct,13.344,"LINESTRING (129.0590237 35.1508095, 129.0590358 35.1506899)"
1290625965_2,1290625965,seomyeon_station_1km,12540920643,12540920618,footway,,direct,4.993,"LINESTRING (129.0590358 35.1506899, 129.0590353 35.1506450)"
1317835881_1,1317835881,seomyeon_station_1km,12196588566,1771424355,secondary,새싹로,conditional,50.666,"LINESTRING (129.0531883 35.1651973, 129.0529329 35.1656023)"
