vertexId,osm_node_id,point
452,1771314280,POINT (129.0580794 35.1615337)
453,1771314283,POINT (129.0587359 35.1597678)
454,1771314284,POINT (129.0567775 35.1616691)
455,1771314287,POINT (129.0593642 35.1610385)
456,1771314293,POINT (129.0601775 35.1601542)
457,1771314295,POINT (129.0588219 35.1609464)
458,1771314299,POINT (129.0593614 35.1618139)
459,1771314300,POINT (129.0578052 35.1603901)
460,1771314303,POINT (129.0562943 35.1622462)
461,1771314304,POINT (129.0590396 35.1601930)
462,1771314307,POINT (129.0584461 35.1594936)
463,1771314308,POINT (129.0595377 35.1593456)
464,1771314309,POINT (129.0587728 35.1618602)
465,1771314310,POINT (129.0583183 35.1587346)
466,1771314313,POINT (129.0580277 35.1590967)
467,1771314315,POINT (129.0580389 35.1618854)
468,1771316453,POINT (129.0541575 35.1582637)
469,1771316455,POINT (129.0541456 35.1591190)
470,1771316457,POINT (129.0541338 35.1602864)
471,1771316462,POINT (129.0616656 35.1593663)
472,1771316464,POINT (129.0541633 35.1577100)
473,1771316465,POINT (129.0537894 35.1608916)
474,1771316466,POINT (129.0614563 35.1594787)
475,1771316469,POINT (129.0541327 35.1604508)
476,1771316470,POINT (129.0541363 35.1599230)
477,1771316472,POINT (129.0542364 35.1612678)
478,1771316473,POINT (129.0529686 35.1595258)
479,1771316475,POINT (129.0541393 35.1595312)
480,1771316479,POINT (129.0541515 35.1586823)
481,1771316480,POINT (129.0546482 35.1614141)
482,1771316481,POINT (129.0547166 35.1586801)
483,1771316483,POINT (129.0528148 35.1586875)
484,1771316487,POINT (129.0550603 35.1608395)
485,1771316488,POINT (129.0532508 35.1602755)
486,1771316489,POINT (129.0552622 35.1586819)
487,1771317856,POINT (129.0552630 35.1577100)
488,1771317858,POINT (129.0541637 35.1575343)
489,1771317859,POINT (129.0565639 35.1577162)
490,1771317861,POINT (129.0541758 35.1567653)
491,1771317862,POINT (129.0541901 35.1558640)
492,1771317863,POINT (129.0552625 35.1582768)
493,1771317864,POINT (129.0535027 35.1575181)
494,1771317865,POINT (129.0534586 35.1567529)
495,1771317866,POINT (129.0565454 35.1586861)
496,1771317868,POINT (129.0552618 35.1591308)
